tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_lat	average_lat_sigma	average_lon	average_lon_sigma	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	model_lat	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_n	vadm_sigma
6	0.2	Ma	5.723e-06	2	1.71e-06	29.88	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b181020	0834b	0834b1810202 : 0834b1810203	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b181020	V [A] DM of sample.	ND	ND	-1	1.287e+22	2	3.845e+21
6	0.2	Ma	1.053e-05	4	1.617e-06	15.35	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b201041	0834b	0834b2010412 : 0834b2010413 : 0834b2010414 : 0834b2010415	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b201041	V [A] DM of sample.	ND	ND	-1	2.367e+22	4	3.635e+21
6	0.2	Ma	1.247e-05	2	7.071e-08	0.567	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b261036	0834b	0834b2610362 : 0834b2610363	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b261036	V [A] DM of sample.	ND	ND	-1	2.804e+22	2	1.59e+20
6	0.2	Ma	1.295e-05	5	8.92e-07	6.886	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b312047	0834b	0834b3120471 : 0834b3120472 : 0834b3120473 : 0834b3120474 : 0834b3120475	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b312047	V [A] DM of sample.	ND	ND	-1	2.912e+22	5	2.005e+21
6	0.2	Ma	1.177e-05	2	3.253e-07	2.764	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b331003	0834b	0834b3310032 : 0834b3310033	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b331003	V [A] DM of sample.	ND	ND	-1	2.646e+22	2	7.314e+20
6	0.2	Ma	1.227e-05	2	3.579e-06	29.17	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b351003	0834b	0834b3510032 : 0834b3510033	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b351003	V [A] DM of sample.	ND	ND	-1	2.759e+22	2	8.047e+21
6	0.2	Ma	9.482e-06	4	2.843e-06	29.98	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b361010	0834b	0834b3610101 : 0834b3610102 : 0834b3610103 : 0834b3610105	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b361010	V [A] DM of sample.	ND	ND	-1	2.132e+22	4	6.392e+21
2.8	1	Ma	2.112e-05	2	6.859e-07	3.248	-19		183		ND	ND	i	This study : Tauxe & Yamazaki 2007	835	0835b041083	0835b	0835b0410831 : 0835b0410833	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0835b041083	V [A] DM of sample.	ND	ND	-1	4.748e+22	2	1.542e+21
1	0.3	Ma	2.525e-05	2	7.156e-06	28.34	-20		183		ND	ND	i	This study : Tauxe & Yamazaki 2007	836	0836a032003	0836a	0836a0320031 : 0836a0320032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-20	IE-SPEC	V[A]DM: Sample 0836a032003	V [A] DM of sample.	ND	ND	-1	5.607e+22	2	1.589e+22
1	0.3	Ma	9.967e-06	2	4.361e-06	43.75	-20		183		ND	ND	i	This study : Tauxe & Yamazaki 2007	836	0836a037055	0836a	0836a0370551 : 0836a0370552	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-20	IE-SPEC	V[A]DM: Sample 0836a037055	V [A] DM of sample.	ND	ND	-1	2.213e+22	2	9.684e+21
1	0.3	Ma	1.339e-05	2	4.172e-07	3.115	-20		183		ND	ND	i	This study : Tauxe & Yamazaki 2007	836	0836a037073	0836a	0836a0370731 : 0836a0370732	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-20	IE-SPEC	V[A]DM: Sample 0836a037073	V [A] DM of sample.	ND	ND	-1	2.974e+22	2	9.265e+20
1	0.3	Ma	4.374e-06	1	0		-20		183		ND	ND	i	This study : Tauxe & Yamazaki 2007	836	0836a04c003	0836a	0836a04c0032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-20	IE-SPEC	V[A]DM: Sample 0836a04c003	V [A] DM of sample.	ND	ND	-1	9.713e+21	1	0
1	0.3	Ma	4.167e-05	2	3.253e-07	0.7806	-20		183		ND	ND	i	This study : Tauxe & Yamazaki 2007	836	0836b091100	0836b	0836b0911001 : 0836b0911002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-20	IE-SPEC	V[A]DM: Sample 0836b091100	V [A] DM of sample.	ND	ND	-1	9.254e+22	2	7.224e+20
97	5	Ma	7.111e-05	2	1.043e-05	14.67	19		201		ND	ND	i	This study : Tauxe & Yamazaki 2007	843	0843a022042	0843a	0843a0220422 : 0843a0220423	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-16	IE-SPEC	V[A]DM: Sample 0843a022042	V [A] DM of sample.	ND	ND	-1	1.656e+23	2	2.429e+22
2.8	1	Ma	1.615e-05	2	9.97e-07	6.175	-47		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	862	0862a031011	0862a	0862a0310111 : 0862a0310112	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-47	IE-SPEC	V[A]DM: Sample 0862a031011	V [A] DM of sample.	ND	ND	-1	2.583e+22	2	1.595e+21
2.8	1	Ma	1.793e-05	2	1.739e-06	9.702	-47		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	862	0862a031098	0862a	0862a0310981 : 0862a0310982	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-47	IE-SPEC	V[A]DM: Sample 0862a031098	V [A] DM of sample.	ND	ND	-1	2.868e+22	2	2.781e+21
2.8	1	Ma	1.377e-05	1	0		-47		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	862	0862b031011	0862b	0862b0310113	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-47	IE-SPEC	V[A]DM: Sample 0862b031011	V [A] DM of sample.	ND	ND	-1	2.202e+22	1	0
0	0.1	Ma	3.465e-05	5	9.153e-06	26.42	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a012015	0864a	0864a0120151 : 0864a0120152 : 0864a0120153 : 0864a0120154 : 0864a0120155	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a012015	V [A] DM of sample.	ND	ND	-1	8.565e+22	5	2.262e+22
0	0.1	Ma	3.674e-05	5	2.431e-06	6.617	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a012050	0864a	0864a0120501 : 0864a0120502 : 0864a0120503 : 0864a0120504 : 0864a0120505	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a012050	V [A] DM of sample.	ND	ND	-1	9.081e+22	5	6.009e+21
0	0.1	Ma	4.322e-05	5	7.921e-06	18.33	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a013015	0864a	0864a0130151 : 0864a0130152 : 0864a0130153 : 0864a0130154 : 0864a0130155	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a013015	V [A] DM of sample.	ND	ND	-1	1.068e+23	5	1.958e+22
0	0.1	Ma	4.215e-05	1	0		10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a013048	0864a	0864a0130482	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a013048	V [A] DM of sample.	ND	ND	-1	1.042e+23	1	0
0	0.1	Ma	3.342e-05	5	3.619e-06	10.83	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a015015	0864a	0864a0150151 : 0864a0150152 : 0864a0150153 : 0864a0150154 : 0864a0150155	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a015015	V [A] DM of sample.	ND	ND	-1	8.26e+22	5	8.945e+21
0	0.1	Ma	3.63e-05	2	5.657e-08	0.1558	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a016030	0864a	0864a0160301 : 0864a0160302	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a016030	V [A] DM of sample.	ND	ND	-1	8.972e+22	2	1.398e+20
0	0.1	Ma	3.968e-05	4	4.77e-06	12.02	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a016143	0864a	0864a0161431 : 0864a0161432 : 0864a0161434 : 0864a0161435	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	10	IE-SPEC	V[A]DM: Sample 0864a016143	V [A] DM of sample.	ND	ND	-1	9.808e+22	4	1.179e+22
19.5	1	Ma	1.796e-05	2	9.899e-08	0.5512	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a251028	0907a	0907a2510281 : 0907a2510282	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a251028	V [A] DM of sample.	ND	ND	-1	2.438e+22	2	1.344e+20
19.5	1	Ma	1.03e-05	2	3.718e-06	36.09	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a252049	0907a	0907a2520491 : 0907a2520492	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a252049	V [A] DM of sample.	ND	ND	-1	1.398e+22	2	5.048e+21
19.5	1	Ma	1.964e-05	3	3.483e-07	1.773	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a254049	0907a	0907a2540491 : 0907a2540492 : 0907a2540493	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a254049	V [A] DM of sample.	ND	ND	-1	2.666e+22	3	4.728e+20
19.5	1	Ma	1.584e-05	4	7.734e-07	4.883	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a261053	0907a	0907a2610531 : 0907a2610532 : 0907a2610533 : 0907a2610534	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a261053	V [A] DM of sample.	ND	ND	-1	2.15e+22	4	1.05e+21
19.5	1	Ma	1.096e-05	5	1.665e-06	15.2	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a261139	0907a	0907a2611391 : 0907a2611392 : 0907a2611393 : 0907a2611394 : 0907a2611395	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a261139	V [A] DM of sample.	ND	ND	-1	1.488e+22	5	2.26e+21
19.5	1	Ma	8.85e-06	5	1.364e-06	15.42	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a261143	0907a	0907a2611431 : 0907a2611432 : 0907a2611433 : 0907a2611434 : 0907a2611435	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a261143	V [A] DM of sample.	ND	ND	-1	1.201e+22	5	1.852e+21
19.5	1	Ma	1.635e-05	4	2.135e-06	13.06	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a262014	0907a	0907a2620141 : 0907a2620142 : 0907a2620143 : 0907a2620144	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a262014	V [A] DM of sample.	ND	ND	-1	2.22e+22	4	2.898e+21
19.5	1	Ma	1.394e-05	2	4.808e-07	3.449	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a262019	0907a	0907a2620191 : 0907a2620192	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	69	IE-SPEC	V[A]DM: Sample 0907a262019	V [A] DM of sample.	ND	ND	-1	1.892e+22	2	6.527e+20
77.6	3.8	Ma	3.543e-05	1	0		16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a535002	1001a	1001a5350021	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a535002	V [A] DM of sample.	ND	ND	-1	7.573e+22	1	0
77.6	3.8	Ma	3.288e-06	2	9.171e-07	27.9	16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a541073	1001a	1001a5410731 : 1001a5410732	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a541073	V [A] DM of sample.	ND	ND	-1	7.028e+21	2	1.96e+21
77.6	3.8	Ma	1.938e-05	1	0		16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a541077	1001a	1001a5410771	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a541077	V [A] DM of sample.	ND	ND	-1	4.143e+22	1	0
77.6	3.8	Ma	1.72e-05	2	6.788e-07	3.947	16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a553015	1001a	1001a5530151 : 1001a5530152	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a553015	V [A] DM of sample.	ND	ND	-1	3.677e+22	2	1.451e+21
77.6	3.8	Ma	7.216e-05	2	1.065e-05	14.76	16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a561016	1001a	1001a5610161 : 1001a5610162	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a561016	V [A] DM of sample.	ND	ND	-1	1.542e+23	2	2.277e+22
77.6	3.8	Ma	6.25e-05	2	1.611e-05	25.78	16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a561048	1001a	1001a5610481 : 1001a5610482	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a561048	V [A] DM of sample.	ND	ND	-1	1.336e+23	2	3.444e+22
77.6	3.8	Ma	2.573e-05	4	3.695e-06	14.36	16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a562026	1001a	1001a5620261 : 1001a5620263 : 1001a5620264 : 1001a5620265	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a562026	V [A] DM of sample.	ND	ND	-1	5.5e+22	4	7.898e+21
77.6	3.8	Ma	2.005e-05	4	8.214e-06	40.96	16		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	1001	1001a562034	1001a	1001a5620341 : 1001a5620343 : 1001a5620344 : 1001a5620345	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 1001a562034	V [A] DM of sample.	ND	ND	-1	4.286e+22	4	1.756e+22
